,dock_id,dock_name,_lat,_long
723278,394,E 9 St & Avenue C,40.725213000000004,-73.977688
727414,395,Bond St & Schermerhorn St,40.68807,-73.98410600000001
731550,396,Lefferts Pl & Franklin Ave,40.680341999999996,-73.95576899999999
735686,397,Fulton St & Clermont Ave,40.684157,-73.969223
739822,398,Atlantic Ave & Furman St,40.691652000000005,-73.99997900000001
743958,399,Lafayette Ave & St James Pl,40.688515,-73.964763
748094,400,Pitt St & Stanton St,40.719260999999996,-73.98178
752230,401,Allen St & Rivington St,40.720196,-73.98997800000001
756366,402,Broadway & E 22 St,40.740342999999996,-73.989551
760502,403,E 2 St & 2 Ave,40.725029,-73.990697
764638,404,9 Ave & W 14 St,40.740583,-74.005509
768774,405,Washington St & Gansevoort St,40.739323,-74.008119
772910,406,Hicks St & Montague St,40.695128000000004,-73.995951
777046,407,Henry St & Poplar St,40.700469,-73.991454
781182,408,Market St & Cherry St,40.710762,-73.994004
785318,409,DeKalb Ave & Skillman St,40.690649,-73.95643100000001
789454,410,Suffolk St & Stanton St,40.720664,-73.98518
793590,411,E 6 St & Avenue D,40.722281,-73.976687
797726,412,Forsyth St & Canal St,40.715815,-73.994224
801862,414,Pearl St & Anchorage Pl,40.702819,-73.987658
805998,415,Pearl St & Hanover Square,40.704718,-74.00926
810134,416,Cumberland St & Lafayette Ave,40.687534,-73.972652
814270,417,Barclay St & Church St,40.712912,-74.010202
822542,419,Carlton Ave & Park Ave,40.695807,-73.973556
826678,420,Clermont Ave & Lafayette Ave,40.687645,-73.969689
830814,421,Clermont Ave & Park Ave,40.695734,-73.97129699999999
834950,422,W 59 St & 10 Ave,40.770513,-73.988038
839086,423,W 54 St & 9 Ave,40.765848999999996,-73.98690500000001
843222,426,West St & Chambers St,40.717548,-74.013221
847358,427,Bus Slip & State St,40.701907,-74.013942
851494,428,E 3 St & 1 Ave,40.724677,-73.98783399999999
855630,430,York St & Jay St,40.701485,-73.98656899999999
859766,431,Hanover Pl & Livingston St,40.688646000000006,-73.98263399999999
